room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13110533,70234824,Entire home/apt,,Migeun-dong,1,,2,1.0,53.0,1.0,37.564972,126.96723,2016-05-29 11:45:48.255638
2003153,10311730,Shared room,,Yeonnam-dong,24,5.0,8,1.0,13.0,1.0,37.565411,126.922372,2016-05-29 11:45:45.232590
8346007,42379185,Private room,,Jangan-dong,2,,2,1.0,44.0,1.0,37.576277,127.076093,2016-05-29 11:45:38.550073
6561081,31627642,Shared room,,Itaewon-dong,2,,1,1.0,19.0,1.0,37.535387,126.992513,2016-05-29 11:45:27.883745
4405502,19927021,Entire home/apt,,Myeong-dong 1(il)-ga,53,5.0,4,0.0,59.0,1.0,37.563953,126.982765,2016-05-29 11:45:24.734341
11719139,37193463,Entire home/apt,,Donggyo-dong,10,5.0,6,1.0,55.0,2.0,37.557736,126.924813,2016-05-29 11:45:14.361282
12594814,62212798,Entire home/apt,,Bongnae-dong 2(i)-ga,0,,4,1.0,70.0,1.0,37.554917,126.97067,2016-05-29 11:44:59.573114
9962435,51193300,Private room,,Seongsu-dong 2(i)-ga,8,4.5,2,1.0,25.0,1.0,37.540668,127.051253,2016-05-29 11:44:57.362110
4025558,6939095,Entire home/apt,,Hongik-dong,33,5.0,4,2.0,67.0,2.0,37.56596,127.034584,2016-05-29 11:44:54.239256
12655648,68752222,Entire home/apt,,Jamwon-dong,3,2.5,2,1.0,39.0,1.0,37.517074,127.018682,2016-05-29 11:44:50.822416
4320818,2403998,Shared room,,Donggyo-dong,1,,3,1.0,11.0,3.0,37.558294,126.9254,2016-05-29 11:44:42.765461
12009263,54976700,Shared room,,Seongsan-dong,0,,4,1.0,15.0,1.0,37.56244,126.908294,2016-05-29 11:44:35.276001
2650160,5057359,Entire home/apt,,Changjeon-dong,34,5.0,2,1.0,56.0,2.0,37.554024,126.931982,2016-05-29 11:44:16.959577
5585572,17346569,Entire home/apt,,Seogye-dong,31,4.5,5,2.0,72.0,2.0,37.553108,126.967012,2016-05-29 11:44:13.944027
4138381,19666839,Private room,,Sogong-dong,7,4.0,2,1.0,43.0,1.0,37.563109,126.978831,2016-05-29 11:43:08.096031
1874904,8965128,Entire home/apt,,Doryeom-dong,11,5.0,4,0.0,94.0,1.0,37.573846,126.97375,2016-05-29 11:43:03.909209
4484575,12594820,Entire home/apt,,Gye-dong,36,5.0,6,2.0,165.0,2.0,37.580402,126.988284,2016-05-29 11:42:57.117520
