room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
3396655,1210,4080146,Shared room,,Seoul,,Sinsa-dong,5,4.0,4,1.0,,72.0,,2017-05-10 11:52:42.259001,37.522464,127.024762,0101000020E6100000BF0B5BB395C15F402EABB019E0C24240
10297638,1210,24221128,Shared room,,Seoul,,Samseong-dong,0,0.0,3,1.0,,93.0,,2017-05-10 11:52:04.105376,37.517412,127.061577,0101000020E6100000E44BA8E0F0C35F406B47718E3AC24240
8398891,1210,43663625,Shared room,,Seoul,,Namsan-dong 3(sam)-ga,1,0.0,3,1.0,,72.0,,2017-05-10 11:52:00.964388,37.56024,126.987471,0101000020E6100000E6AF90B932BF5F409DF4BEF1B5C74240
12686173,1210,67395638,Shared room,,Seoul,,Sajik-dong,1,0.0,3,1.0,,78.0,,2017-05-10 11:52:00.954456,37.577221,126.967563,0101000020E610000075745C8DECBD5F403FC8B260E2C94240
9530701,1210,6768967,Shared room,,Seoul,,Nogosan-dong,0,0.0,4,1.0,,79.0,,2017-05-10 11:51:59.863704,37.552377,126.935752,0101000020E6100000A94A5B5CE3BB5F4003081F4AB4C64240
5898057,1210,24091719,Shared room,,Seoul,,Jongno 3(sam)-ga,0,0.0,4,1.0,,72.0,,2017-05-10 11:51:59.855883,37.570221,126.991848,0101000020E610000098A608707ABF5F40073F7100FDC84240
15100624,1210,32565142,Shared room,,Seoul,,Daechi-dong,1,0.0,4,1.0,,46.0,,2017-05-10 11:51:54.673410,37.500216,127.055743,0101000020E6100000C87E164B91C35F40CD77F01307C04240
13443903,1210,34486805,Shared room,,Seoul,,Seogyo-dong,0,0.0,2,1.0,,55.0,,2017-05-10 11:51:53.171729,37.554074,126.928562,0101000020E6100000BC934F8F6DBB5F402EC896E5EBC64240
3632408,1210,5414606,Shared room,,Seoul,,Euljiro 2(i)-ga,0,0.0,4,1.0,,45.0,,2017-05-10 11:51:53.163370,37.565682,126.985261,0101000020E61000008D4127840EBF5F40CBF78C4468C84240
4804539,1210,10311730,Shared room,,Seoul,,Yeonnam-dong,2,0.0,2,1.0,,45.0,,2017-05-10 11:51:50.573928,37.565441,126.923727,0101000020E6100000A9DBD9571EBB5F40A568E55E60C84240
2151655,1210,10911156,Shared room,,Seoul,,Changjeon-dong,3,4.5,2,1.0,,47.0,,2017-05-10 11:51:49.829251,37.548656,126.930684,0101000020E610000045BA9F5390BB5F4089601C5C3AC64240
14207570,1210,73454491,Shared room,,Seoul,,Yeoksam-dong,0,0.0,2,1.0,,55.0,,2017-05-10 11:51:49.002002,37.500395,127.038009,0101000020E610000009FD4CBD6EC25F407C0A80F10CC04240
11073690,1210,56182534,Shared room,,Seoul,,Sangdo 1(il)-dong,1,0.0,3,1.0,,53.0,,2017-05-10 11:51:46.998976,37.50727,126.95168,0101000020E610000077103B53E8BC5F40F71E2E39EEC04240
9531014,1210,6768967,Shared room,,Seoul,,Nogosan-dong,0,0.0,2,1.0,,47.0,,2017-05-10 11:51:46.975441,37.552625,126.935485,0101000020E610000082397AFCDEBB5F40DBF97E6ABCC64240
3967454,1210,19759971,Shared room,,Seoul,,Gwansu-dong,8,4.5,2,1.0,,45.0,,2017-05-10 11:51:45.946259,37.569474,126.990183,0101000020E6100000888384285FBF5F400EF62686E4C84240
12684863,1210,67666062,Shared room,,Seoul,,Seongsan-dong,0,0.0,16,1.0,,408.0,,2017-05-10 11:49:00.268021,37.558501,126.909043,0101000020E610000018EAB0C22DBA5F4043E4F4F57CC74240
11213409,1210,58413780,Shared room,,Seoul,,Nonhyeon-dong,0,0.0,4,1.0,,344.0,,2017-05-10 11:49:00.265854,37.507063,127.032229,0101000020E6100000E63E390A10C25F407E01BD70E7C04240
9337263,1210,22261535,Shared room,,Seoul,,Yeonnam-dong,1,0.0,16,1.0,,327.0,,2017-05-10 11:49:00.262954,37.560228,126.920035,0101000020E6100000390B7BDAE1BA5F40D926158DB5C74240
14095441,1210,75553354,Shared room,,Seoul,,Gye-dong,1,0.0,15,1.0,,468.0,,2017-05-10 11:49:00.259059,37.581801,126.987729,0101000020E6100000E413B2F336BF5F40DAE3857478CA4240
11461545,1210,58413780,Shared room,,Seoul,,Yeoksam-dong,0,0.0,4,1.0,,290.0,,2017-05-10 11:48:59.515629,37.507478,127.04011,0101000020E6100000868F882991C25F4041B8020AF5C04240
16072077,1210,24130965,Shared room,,Seoul,,Guro-dong,0,0.0,1,1.0,,249.0,,2017-05-10 11:48:59.513324,37.494495,126.871012,0101000020E61000001B9B1DA9BEB75F408C84B69C4BBF4240
14094360,1210,75553354,Shared room,,Seoul,,Gye-dong,2,0.0,11,1.0,,288.0,,2017-05-10 11:48:59.508682,37.581778,126.98807,0101000020E6100000280AF4893CBF5F4022C495B377CA4240
13512741,1210,77570823,Shared room,,Seoul,,Jagok-dong,0,0.0,4,1.0,,206.0,,2017-05-10 11:48:58.341722,37.470937,127.089558,0101000020E610000017467A51BBC55F40F9BCE2A947BC4240
10297890,1210,24221128,Shared room,,Seoul,,Samseong-dong,3,5.0,6,1.0,,196.0,,2017-05-10 11:48:58.335956,37.51813,127.063404,0101000020E6100000E19BA6CF0EC45F40CA89761552C24240
2944137,1210,4838845,Shared room,,Seoul,,Daechi-dong,0,0.0,16,1.0,,181.0,,2017-05-10 11:48:57.789614,37.505325,127.061118,0101000020E61000009ACC785BE9C35F40F46C567DAEC04240
1764317,1210,8979626,Shared room,,Seoul,,Seogyo-dong,0,0.0,4,1.0,,145.0,,2017-05-10 11:48:57.787260,37.554296,126.919103,0101000020E6100000F4A96395D2BA5F40DD26DC2BF3C64240
